Latitude,SqFtTotLiving,SqFt2ndFloor,Longitude,YrBuilt,SqFtFinBasement,SqFt1stFloor
47.5874475,1710,0,-122.1321575,1956,0,1710
47.741217,4140,1600,-122.3391617,2010,1260,1280
47.6959892,1670,0,-122.1199014,1977,430,1240
47.5946591,1650,610,-122.2961248,2017,290,750
47.7175732,1560,0,-122.3520796,1927,600,960
47.4870915,1220,0,-122.4798366,1929,0,910
47.4767894,3710,1440,-122.1240632,2016,1120,1150
47.4372194,3432,1505,-122.1554045,2019,909,1018
47.5611153,2270,0,-122.1475014,1980,310,1960
47.7751427,1800,0,-122.272722,1966,400,1400
47.4997253,1490,0,-122.3262293,1954,400,1090
47.3753204,1060,0,-122.2350158,1955,0,1060
47.7636609,1440,0,-122.3530214,1954,0,1440
47.3632955,2620,1250,-122.2079644,1978,0,1370
47.5998088,1550,0,-122.1470153,1955,0,1550
47.5665534,1950,0,-122.167653,1976,480,1470
47.6993916,1610,910,-122.162161,2018,0,700
47.697903,1530,610,-122.3479305,2018,310,610
47.4908865,1290,0,-122.1039174,1968,0,1290
47.5946974,1030,0,-122.3057795,1966,0,1030
47.6198667,970,0,-122.2950769,1916,0,970
47.6692209,1770,0,-122.3367861,1902,400,980
47.6802319,3550,1540,-122.202179,2016,800,1210
47.4850691,3570,2000,-122.1366628,2018,0,1570
47.6145974,2680,0,-122.1659455,1968,1150,1530
47.7755299,2320,0,-122.3657125,1967,1000,1320
47.6726163,2940,0,-122.1594524,1966,0,2000
47.7656732,3230,1220,-122.1273288,1977,0,2010
47.6786059,1350,520,-122.3754022,2016,310,520
47.494807,2780,0,-122.123677,1952,860,1920
47.5139334,3860,1500,-122.1543372,2016,1180,1180
47.5950462,1900,690,-122.2999768,2018,550,660
47.6848296,1090,0,-122.3208212,1925,0,1090
47.5311235,1580,0,-122.3742245,1952,0,1580
47.640471,1460,0,-122.307002,1921,110,750
47.775847,2150,0,-122.365483,1967,520,1630
47.5557512,1820,620,-122.2813597,2017,540,660
47.5503951,1970,870,-122.312032,1993,0,1100
47.5020522,2950,1800,-122.1495976,2016,0,1150
47.4845675,1550,490,-122.107219,1959,0,1060
47.3952968,1100,0,-122.2077477,1964,0,1100
47.2938958,1810,0,-122.2169788,1953,240,1570
47.5048509,1330,0,-122.2310795,1952,280,1050
47.4491442,920,0,-122.1772502,1958,0,920
47.757442,1940,0,-122.3245501,1952,0,1940
47.6722137,1880,990,-122.3497284,1990,0,890
47.6955427,1890,0,-122.2815022,1948,450,1440
47.48134,810,0,-122.289927,1944,0,810
